TITLE	Azo-Br-0min
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	25/07/04
TIME	15:17:27
SPECTROMETER/DATA SYSTEM	
LOCALE	1041
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  650.0000
LASTX	  300.0000
NPOINTS	    1751
FIRSTY	    -0.00028
MAXY	     0.38715
MINY	    -0.00036
XYDATA
489.8000	0.0161576
489.6000	0.0161595
489.4000	0.0161757
489.2000	0.0163388
489.0000	0.0165393
488.8000	0.0165422
488.6000	0.0166211
488.4000	0.0167809
488.2000	0.0167989
488.0000	0.0169454
487.8000	0.017085
487.6000	0.0170523
487.4000	0.0171516
487.2000	0.0173128
487.0000	0.0174162
486.8000	0.0174923
486.6000	0.0175569
486.4000	0.0176229
486.2000	0.0177324
486.0000	0.0178919
485.8000	0.0179726
485.6000	0.0180418
485.4000	0.0181316
485.2000	0.0181789
485.0000	0.0182482
484.8000	0.0183706
484.6000	0.018487
484.4000	0.0185659
484.2000	0.018711
484.0000	0.0187666
483.8000	0.0187956
483.6000	0.0188908
483.4000	0.0190714
483.2000	0.0192205
483.0000	0.0191873
482.8000	0.0192811
482.6000	0.0193243
482.4000	0.019398
482.2000	0.0195634
482.0000	0.019623
481.8000	0.0197367
481.6000	0.0198715
481.4000	0.0199698
481.2000	0.0200473
481.0000	0.0201648
480.8000	0.0202657
480.6000	0.0203998
480.4000	0.020492
480.2000	0.0205382
480.0000	0.0205898
479.8000	0.0207061
479.6000	0.0208775
479.4000	0.0209022
479.2000	0.020917
479.0000	0.0209955
478.8000	0.0212011
478.6000	0.0213777
478.4000	0.0214221
478.2000	0.0214702
478.0000	0.0215686
477.8000	0.021684
477.6000	0.0218262
477.4000	0.0219068
477.2000	0.0219109
477.0000	0.0219589
476.8000	0.022073
476.6000	0.0221768
476.4000	0.0222134
476.2000	0.0222379
476.0000	0.0223859
475.8000	0.022553
475.6000	0.0225852
475.4000	0.022663
475.2000	0.0228302
475.0000	0.0229543
474.8000	0.023031
474.6000	0.0230609
474.4000	0.0231251
474.2000	0.0232936
474.0000	0.0233889
473.8000	0.0233548
473.6000	0.0233344
473.4000	0.0234998
473.2000	0.0236588
473.0000	0.023707
472.8000	0.0238015
472.6000	0.0239023
472.4000	0.023982
472.2000	0.0240998
472.0000	0.0241913
471.8000	0.0243138
471.6000	0.0244507
471.4000	0.0245123
471.2000	0.0246261
471.0000	0.0247841
470.8000	0.0248253
470.6000	0.0248388
470.4000	0.0249381
470.2000	0.0250768
470.0000	0.02516
469.8000	0.0251791
469.6000	0.0252964
469.4000	0.0254081
469.2000	0.025459
469.0000	0.0254452
468.8000	0.0255691
468.6000	0.0257063
468.4000	0.025755
468.2000	0.0258835
468.0000	0.0259941
467.8000	0.0260652
467.6000	0.026131
467.4000	0.0262097
467.2000	0.0262593
467.0000	0.0264589
466.8000	0.0265368
466.6000	0.0264307
466.4000	0.0264591
466.2000	0.0265582
466.0000	0.0266552
465.8000	0.0267661
465.6000	0.0269038
465.4000	0.0270181
465.2000	0.0271062
465.0000	0.0271946
464.8000	0.0272523
464.6000	0.0273116
464.4000	0.0273389
464.2000	0.0274403
464.0000	0.0275767
463.8000	0.0276376
463.6000	0.0276961
463.4000	0.0277741
463.2000	0.0277611
463.0000	0.0277174
462.8000	0.0278641
462.6000	0.0280101
462.4000	0.0280712
462.2000	0.0281986
462.0000	0.0281963
461.8000	0.0282262
461.6000	0.0283534
461.4000	0.028389
461.2000	0.0284445
461.0000	0.0285043
460.8000	0.0286331
460.6000	0.0287307
460.4000	0.0287914
460.2000	0.0288529
460.0000	0.0289539
459.8000	0.0290548
459.6000	0.0291939
459.4000	0.029194
459.2000	0.0291727
459.0000	0.0292145
458.8000	0.0291912
458.6000	0.0293134
458.4000	0.0294502
458.2000	0.0294944
458.0000	0.0295627
457.8000	0.0296486
457.6000	0.0296024
457.4000	0.0296
457.2000	0.0297385
457.0000	0.0298461
456.8000	0.0299122
456.6000	0.0300263
456.4000	0.0300696
456.2000	0.0301628
456.0000	0.0302558
455.8000	0.030211
455.6000	0.0302889
455.4000	0.0303927
455.2000	0.0304813
455.0000	0.0304985
454.8000	0.0305586
454.6000	0.0305872
454.4000	0.0305629
454.2000	0.0307019
454.0000	0.030795
453.8000	0.030842
453.6000	0.0308217
453.4000	0.0308276
453.2000	0.0309144
453.0000	0.0309766
452.8000	0.0309328
452.6000	0.0309328
452.4000	0.0310702
452.2000	0.0312381
452.0000	0.0313249
451.8000	0.031273
451.6000	0.0312796
451.4000	0.0313102
451.2000	0.0314443
451.0000	0.0316105
450.8000	0.0315139
450.6000	0.0314576
450.4000	0.031577
450.2000	0.0315539
450.0000	0.031548
449.8000	0.0316543
449.6000	0.0317239
449.4000	0.0317984
449.2000	0.0318381
449.0000	0.0319138
448.8000	0.0319311
448.6000	0.0319381
448.4000	0.0319416
448.2000	0.0319923
448.0000	0.0321901
447.8000	0.032151
447.6000	0.032061
447.4000	0.0322463
447.2000	0.0322766
447.0000	0.0321851
446.8000	0.0323984
446.6000	0.0324546
446.4000	0.032448
446.2000	0.0325115
446.0000	0.0323941
445.8000	0.0324243
445.6000	0.0324842
445.4000	0.0324659
445.2000	0.0325476
445.0000	0.0327122
444.8000	0.0326725
444.6000	0.032557
444.4000	0.0326451
444.2000	0.0328161
444.0000	0.0329995
443.8000	0.0328156
443.6000	0.0326524
443.4000	0.0327946
443.2000	0.0329151
443.0000	0.0329228
442.8000	0.0329403
442.6000	0.0329589
442.4000	0.0329089
442.2000	0.0330371
442.0000	0.0330638
441.8000	0.0330349
441.6000	0.033182
441.4000	0.0332878
441.2000	0.0333317
441.0000	0.033321
440.8000	0.0332899
440.6000	0.0333552
440.4000	0.0334045
440.2000	0.0335065
440.0000	0.0334927
439.8000	0.0333216
439.6000	0.0334084
439.4000	0.0334544
439.2000	0.0335395
439.0000	0.0336645
438.8000	0.0335195
438.6000	0.0335461
438.4000	0.0337743
438.2000	0.03391
438.0000	0.0339861
437.8000	0.0338869
437.6000	0.0337637
437.4000	0.0338397
437.2000	0.0339694
437.0000	0.0339162
436.8000	0.0340321
436.6000	0.0340606
436.4000	0.0339592
436.2000	0.0341092
436.0000	0.0343412
435.8000	0.0345387
435.6000	0.0344538
435.4000	0.0343779
435.2000	0.0343458
435.0000	0.0344542
434.8000	0.0345227
434.6000	0.0345051
434.4000	0.0344414
434.2000	0.0344966
434.0000	0.0343411
433.8000	0.0342452
433.6000	0.0345631
433.4000	0.0347443
433.2000	0.034826
433.0000	0.0348748
432.8000	0.0350962
432.6000	0.0350991
432.4000	0.0350343
432.2000	0.0351918
432.0000	0.0352438
431.8000	0.035294
431.6000	0.0353617
431.4000	0.0354506
431.2000	0.0355037
431.0000	0.0354935
430.8000	0.0355733
430.6000	0.0355722
430.4000	0.0355769
430.2000	0.0357943
430.0000	0.0359348
429.8000	0.0359066
429.6000	0.0360854
429.4000	0.0361818
429.2000	0.0361036
429.0000	0.0362573
428.8000	0.0366131
428.6000	0.0366485
428.4000	0.036437
428.2000	0.0364879
428.0000	0.0367086
427.8000	0.0370061
427.6000	0.0371559
427.4000	0.0372498
427.2000	0.0374483
427.0000	0.0377523
426.8000	0.0380034
426.6000	0.0380398
426.4000	0.0379439
426.2000	0.0380547
426.0000	0.0384151
425.8000	0.0385366
425.6000	0.0387178
425.4000	0.0386846
425.2000	0.0387595
425.0000	0.0390011
424.8000	0.0390318
424.6000	0.0392858
424.4000	0.039504
424.2000	0.0398009
424.0000	0.0401681
423.8000	0.0403964
423.6000	0.0405963
423.4000	0.0407774
423.2000	0.0408673
423.0000	0.0411213
422.8000	0.0414588
422.6000	0.0416597
422.4000	0.0417225
422.2000	0.0420974
422.0000	0.0427229
421.8000	0.0428788
421.6000	0.0429924
421.4000	0.0433299
421.2000	0.0432872
421.0000	0.0434055
420.8000	0.0441376
420.6000	0.044795
420.4000	0.0451064
420.2000	0.045146
420.0000	0.0455562
419.8000	0.046129
419.6000	0.0461074
419.4000	0.0464128
419.2000	0.0470032
419.0000	0.0474887
418.8000	0.0480766
418.6000	0.0485689
418.4000	0.0488632
418.2000	0.049029
418.0000	0.0491816
417.8000	0.049718
417.6000	0.05058
417.4000	0.0509006
417.2000	0.0514634
417.0000	0.0520831
416.8000	0.0524136
416.6000	0.0528728
416.4000	0.053649
416.2000	0.0544604
416.0000	0.0547901
415.8000	0.0552379
415.6000	0.0557552
415.4000	0.0562151
415.2000	0.0568477
415.0000	0.0575005
414.8000	0.0578086
414.6000	0.0586681
414.4000	0.0598328
414.2000	0.0603844
414.0000	0.0606349
413.8000	0.061299
413.6000	0.0619701
413.4000	0.0624947
413.2000	0.0633043
413.0000	0.0643146
412.8000	0.0651724
412.6000	0.0658095
412.4000	0.066692
412.2000	0.0674392
412.0000	0.0684324
411.8000	0.0693767
411.6000	0.0699762
411.4000	0.0711547
411.2000	0.0720843
411.0000	0.0727952
410.8000	0.0737268
410.6000	0.0741619
410.4000	0.0751467
410.2000	0.076376
410.0000	0.0774738
409.8000	0.0788466
409.6000	0.0798824
409.4000	0.0810027
409.2000	0.0818768
409.0000	0.0826653
