TITLE,
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/07/01
TIME,17:50:46
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  900.0000
LASTX,  200.0000
NPOINTS,    3501
FIRSTY,     0.00109
MAXY,    10.00000
MINY,    -0.88292
XYDATA
765.0000,0.000242597
764.8000,0.000269757
764.6000,0.000276443
764.4000,0.000253759
764.2000,0.000207019
764.0000,0.000203497
763.8000,0.000217764
763.6000,0.000229882
763.4000,0.00024194
763.2000,0.000224808
763.0000,0.000207079
762.8000,0.000197289
762.6000,0.000210063
762.4000,0.000247671
762.2000,0.000258833
762.0000,0.000235732
761.8000,0.000232031
761.6000,0.000231553
761.4000,0.000237105
761.2000,0.000216152
761.0000,0.00020105
760.8000,0.000232866
760.6000,0.000263191
760.4000,0.00027119
760.2000,0.000227315
760.0000,0.000221704
759.8000,0.000226002
759.6000,0.000210183
759.4000,0.000232389
759.2000,0.000245581
759.0000,0.000234239
758.8000,0.000244686
758.6000,0.000238478
758.4000,0.000215257
758.2000,0.000217286
758.0000,0.000230897
757.8000,0.000255849
757.6000,0.000246477
757.4000,0.000235553
757.2000,0.000234419
757.0000,0.000232866
756.8000,0.000250058
756.6000,0.000244029
756.4000,0.000223733
756.2000,0.000240686
756.0000,0.000241343
755.8000,0.000226181
755.6000,0.000247432
755.4000,0.000247671
755.2000,0.000254416
755.0000,0.000241104
754.8000,0.00022821
754.6000,0.000234299
754.4000,0.000209586
754.2000,0.000239612
754.0000,0.000246119
753.8000,0.00023406
753.6000,0.000230956
753.4000,0.000233344
753.2000,0.000252088
753.0000,0.000246536
