TITLE,231010-Ru(phen)3-100
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,23/10/10
TIME,13:52:06
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  900.0000
LASTX,  200.0000
NPOINTS,    3501
FIRSTY,     0.00211
MAXY,     1.46183
MINY,     0.00191
XYDATA
806.2000,0.00255789
806.0000,0.00255807
805.8000,0.00255962
805.6000,0.00256314
805.4000,0.00256374
805.2000,0.00256487
805.0000,0.00256684
804.8000,0.00256661
804.6000,0.00256905
804.4000,0.00257037
804.2000,0.00257055
804.0000,0.00257168
803.8000,0.00257299
803.6000,0.00257234
803.4000,0.00257371
803.2000,0.00257419
803.0000,0.00257711
802.8000,0.0025764
802.6000,0.00257598
802.4000,0.00257705
802.2000,0.0025749
802.0000,0.0025758
801.8000,0.00257687
801.6000,0.00257705
801.4000,0.0025764
801.2000,0.00257723
801.0000,0.00257687
800.8000,0.00257711
800.6000,0.00257729
800.4000,0.00257866
800.2000,0.00257819
800.0000,0.0025795
799.8000,0.00258123
799.6000,0.00258213
799.4000,0.00258272
799.2000,0.00258022
799.0000,0.00257837
798.8000,0.00258147
798.6000,0.00257825
798.4000,0.00257789
798.2000,0.00257538
798.0000,0.00257454
797.8000,0.00257287
797.6000,0.00257383
797.4000,0.00257162
797.2000,0.00257305
797.0000,0.00257228
796.8000,0.00257204
796.6000,0.00257186
796.4000,0.0025712
796.2000,0.00257216
796.0000,0.00257168
795.8000,0.00257419
795.6000,0.00257508
795.4000,0.00257502
795.2000,0.00257365
795.0000,0.00257275
794.8000,0.00257156
794.6000,0.00257156
794.4000,0.00257353
794.2000,0.00257371
794.0000,0.00257365
793.8000,0.00257449
793.6000,0.00257443
793.4000,0.00257413
793.2000,0.00257365
793.0000,0.00257377
792.8000,0.00257395
792.6000,0.00257634
792.4000,0.00257293
792.2000,0.00257419
792.0000,0.00257544
791.8000,0.00257693
791.6000,0.00257687
791.4000,0.0025786
791.2000,0.00257944
791.0000,0.00258159
790.8000,0.00257932
790.6000,0.00258057
790.4000,0.00258093
790.2000,0.00258045
790.0000,0.00258189
789.8000,0.00258075
789.6000,0.00258207
789.4000,0.00258111
789.2000,0.00257968
789.0000,0.00258099
788.8000,0.0025829
788.6000,0.00258553
788.4000,0.00258839
788.2000,0.00258929
788.0000,0.00258971
787.8000,0.00259007
787.6000,0.00258893
787.4000,0.00258845
787.2000,0.00258839
787.0000,0.00258929
786.8000,0.00258923
786.6000,0.00258989
786.4000,0.00259192
786.2000,0.00259054
786.0000,0.00259084
785.8000,0.00259174
785.6000,0.00259198
785.4000,0.00259263
785.2000,0.00259287
785.0000,0.00259221
784.8000,0.00259186
784.6000,0.00259341
784.4000,0.00259544
784.2000,0.0025955
784.0000,0.00259645
783.8000,0.00259741
783.6000,0.00259741
783.4000,0.00259723
783.2000,0.00259663
783.0000,0.00259717
782.8000,0.00259783
782.6000,0.00259747
782.4000,0.002598
782.2000,0.00259645
782.0000,0.00259592
781.8000,0.00259681
781.6000,0.00259448
781.4000,0.00259341
781.2000,0.00259347
781.0000,0.00259556
780.8000,0.00259514
780.6000,0.00259389
780.4000,0.00259466
780.2000,0.00259448
780.0000,0.00259257
779.8000,0.00259198
779.6000,0.00259227
779.4000,0.00259209
779.2000,0.00259084
779.0000,0.00259024
778.8000,0.00258989
778.6000,0.00259042
778.4000,0.00258953
778.2000,0.00258917
778.0000,0.00258857
777.8000,0.00258738
777.6000,0.0025872
777.4000,0.00258726
777.2000,0.00258601
777.0000,0.0025863
776.8000,0.00258595
776.6000,0.00258654
776.4000,0.00258565
776.2000,0.00258553
776.0000,0.00258517
775.8000,0.00258571
775.6000,0.00258463
775.4000,0.0025838
775.2000,0.00258547
775.0000,0.00258589
774.8000,0.00258559
774.6000,0.00258541
774.4000,0.00258654
774.2000,0.00258529
774.0000,0.00258559
773.8000,0.00258607
773.6000,0.00258756
773.4000,0.0025881
773.2000,0.0025875
773.0000,0.00258738
772.8000,0.00258815
772.6000,0.00258756
772.4000,0.0025872
772.2000,0.00258821
772.0000,0.00258989
771.8000,0.00258953
771.6000,0.00258965
771.4000,0.00258977
771.2000,0.00258941
771.0000,0.00258815
770.8000,0.00258732
770.6000,0.00258744
770.4000,0.00258815
770.2000,0.00258893
770.0000,0.00259001
769.8000,0.00258941
769.6000,0.00258792
769.4000,0.00258714
769.2000,0.0025881
769.0000,0.00258869
768.8000,0.00258833
768.6000,0.00258798
768.4000,0.00258893
768.2000,0.00258821
768.0000,0.00258827
767.8000,0.00259018
767.6000,0.00258977
767.4000,0.00258905
767.2000,0.00258804
767.0000,0.00258833
766.8000,0.00258642
766.6000,0.00258601
766.4000,0.0025866
766.2000,0.00258738
766.0000,0.00258654
765.8000,0.00258535
765.6000,0.0025841
765.4000,0.00258266
765.2000,0.00258254
765.0000,0.0025835
764.8000,0.00258451
764.6000,0.00258469
764.4000,0.00258613
764.2000,0.00258535
764.0000,0.00258427
763.8000,0.00258254
763.6000,0.00258153
763.4000,0.00258135
763.2000,0.00258117
763.0000,0.00258177
762.8000,0.00258045
762.6000,0.00258057
762.4000,0.00258063
762.2000,0.00258093
762.0000,0.00258153
761.8000,0.00258034
761.6000,0.0025798
761.4000,0.00257926
761.2000,0.00257866
761.0000,0.00257789
760.8000,0.00257801
760.6000,0.00257777
760.4000,0.00257968
760.2000,0.00258022
760.0000,0.00258063
759.8000,0.00257938
759.6000,0.00258039
759.4000,0.00258034
759.2000,0.00258045
759.0000,0.00258016
758.8000,0.00257986
758.6000,0.00257866
758.4000,0.00257771
758.2000,0.00257825
758.0000,0.00257884
757.8000,0.00257854
757.6000,0.0025798
757.4000,0.00258022
757.2000,0.00257986
757.0000,0.00258022
756.8000,0.00258063
756.6000,0.00258057
756.4000,0.00258004
756.2000,0.0025789
756.0000,0.00257813
755.8000,0.00257807
755.6000,0.00257866
755.4000,0.00258034
755.2000,0.00258063
755.0000,0.00257968
754.8000,0.00257956
754.6000,0.00258016
754.4000,0.00258069
754.2000,0.00258087
754.0000,0.00257974
753.8000,0.00257944
753.6000,0.00258051
753.4000,0.00258189
